state,county,date,m50_count
Alabama,Henry County,2020-03-02,100
Alabama,Henry County,2020-03-03,102
Alabama,Henry County,2020-03-04,89
Alabama,Henry County,2020-03-05,98
Alabama,Henry County,2020-03-06,107
Alabama,Henry County,2020-03-09,101
Alabama,Henry County,2020-03-10,97
Alabama,Henry County,2020-03-11,96
Alabama,Henry County,2020-03-12,102
Alabama,Henry County,2020-03-13,109
Alabama,Henry County,2020-03-16,93
Alabama,Henry County,2020-03-17,85
Alabama,Henry County,2020-03-18,86
Alabama,Henry County,2020-03-19,94
Alabama,Henry County,2020-03-20,98
Alabama,Houston County,2020-03-02,100
Alabama,Houston County,2020-03-03,103
Alabama,Houston County,2020-03-04,93
Alabama,Houston County,2020-03-05,96
Alabama,Houston County,2020-03-06,113
Alabama,Houston County,2020-03-09,98
Alabama,Houston County,2020-03-10,100
Alabama,Houston County,2020-03-11,101
Alabama,Houston County,2020-03-12,104
Alabama,Houston County,2020-03-13,104
Alabama,Houston County,2020-03-16,96
Alabama,Houston County,2020-03-17,78
Alabama,Houston County,2020-03-18,81
Alabama,Houston County,2020-03-19,83
Alabama,Houston County,2020-03-20,88
Alabama,Jackson County,2020-03-02,92
Alabama,Jackson County,2020-03-03,95
Alabama,Jackson County,2020-03-04,100
Alabama,Jackson County,2020-03-05,92
Alabama,Jackson County,2020-03-06,140
Alabama,Jackson County,2020-03-09,102
Alabama,Jackson County,2020-03-10,99
Alabama,Jackson County,2020-03-11,100
Alabama,Jackson County,2020-03-12,103
Alabama,Jackson County,2020-03-13,126
Alabama,Jackson County,2020-03-16,86
Alabama,Jackson County,2020-03-17,70
Alabama,Jackson County,2020-03-18,73
Alabama,Jackson County,2020-03-19,73
Alabama,Jackson County,2020-03-20,71
Alabama,Jefferson County,2020-03-02,93
Alabama,Jefferson County,2020-03-03,98
Alabama,Jefferson County,2020-03-04,96
Alabama,Jefferson County,2020-03-05,100
Alabama,Jefferson County,2020-03-06,117
Alabama,Jefferson County,2020-03-09,99
Alabama,Jefferson County,2020-03-10,99
